"id","source","offset","ownerType","ownerMethod","original"
"E0001","sharedassets0.assets","9744",,,"黒塗り"
"E0002","sharedassets0.assets","206480",,,"おやすみ"
"E0003","sharedassets0.assets","403552",,,"Echoes寝床"
"E0004","sharedassets0.assets","404032",,,"パパ　ママ"
"E0005","sharedassets0.assets","601072",,,"廃墟2"
"E0006","sharedassets0.assets","601232",,,"兵士"
"E0007","sharedassets0.assets","601392",,,"連行アニメ1"
"E0008","sharedassets0.assets","798128",,,"ノートアニメ1"
"E0009","sharedassets0.assets","995040",,,"髪飾り"
"E0010","sharedassets0.assets","995200",,,"ペット"
"E0011","sharedassets0.assets","1192096",,,"プレゼント"
"E0012","sharedassets0.assets","1388848",,,"戦火"
"E0013","sharedassets0.assets","1389008",,,"倉庫_帯3"
"E0014","sharedassets0.assets","1389168",,,"かみかざり"
"E0015","sharedassets0.assets","1783296",,,"廃墟2マスク"
"E0016","sharedassets0.assets","1783456",,,"スチル"
"E0017","sharedassets0.assets","1783616",,,"ノートアニメ2"
"E0018","sharedassets0.assets","1980368",,,"かじアンドロイド"
"E0019","sharedassets0.assets","2177616",,,"廃墟2雨"
"E0020","sharedassets0.assets","2177936",,,"ボタンアイコン"
"E0021","sharedassets0.assets","2178112",,,"ボリュームアイコン"
"E0022","sharedassets0.assets","2178288",,,"カーソル2"
"E0023","sharedassets0.assets","2178448",,,"Echoes寝床エンドロール"
"E0024","sharedassets0.assets","2178784",,,"廃墟2夜"
"E0025","sharedassets0.assets","2178944",,,"枠1"
"E0026","sharedassets0.assets","2179088",,,"てつなぎ"
"E0027","sharedassets0.assets","2375824",,,"連行"
"E0028","sharedassets0.assets","2572896",,,"連行アニメ4"
"E0029","sharedassets0.assets","2769632",,,"ゲーム"
"E0030","sharedassets0.assets","2966688",,,"ノートアニメ4"
"E0031","sharedassets0.assets","3163440",,,"廃墟2_帯"
"E0032","sharedassets0.assets","3163600",,,"廃墟2夜明け前_帯"
"E0033","sharedassets0.assets","3163776",,,"倉庫"
"E0034","sharedassets0.assets","3163936",,,"セーター"
"E0035","sharedassets0.assets","3360672",,,"廃墟2夜明け前"
"E0036","sharedassets0.assets","3360832",,,"ノート"
"E0037","sharedassets0.assets","3557568",,,"破壊"
"E0038","sharedassets0.assets","3754304",,,"ノートアニメ3"
"E0039","sharedassets0.assets","3951056",,,"連行アニメ2"
